ticker,trade_date,expiry,dte,option_type,strike,mid,bid,ask,spot,volume,open_interest,iv,rate,div_yield
SPY,2026-05-25,2026-05-26,1,call,525.0,221.01999999999998,219.62,222.42,745.6400146484375,7,7,1.701173369140625,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,580.0,166.025,164.62,167.43,745.6400146484375,0,2,1.2675817871093749,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,600.0,146.02499999999998,144.63,147.42,745.6400146484375,1,11,1.1167036352539061,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,620.0,126.03999999999999,124.63,127.45,745.6400146484375,1,1,0.9741213525390625,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,640.0,106.035,104.63,107.44,745.6400146484375,0,2,0.8261736132812498,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,645.0,101.03,99.63,102.43,745.6400146484375,0,1,0.788088056640625,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,650.0,96.035,94.64,97.43,745.6400146484375,0,3,0.7539087109375,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,655.0,91.05,89.64,92.46,745.6400146484375,2,0,0.7221707470703125,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,660.0,86.05,84.64,87.46,745.6400146484375,10,2,0.6860382958984376,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,670.0,76.03999999999999,74.64,77.44,745.6400146484375,19,10,0.6113320117187502,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,675.0,71.06,69.65,72.47,745.6400146484375,5,1,0.5800823242187501,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,680.0,66.055,64.65,67.46,745.6400146484375,6,3,0.5424850439453126,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,685.0,61.055,59.66,62.45,745.6400146484375,27,3,0.5063525927734375,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,690.0,56.06,54.66,57.46,745.6400146484375,65,15,0.646365841064453,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,691.0,55.065,53.66,56.47,745.6400146484375,0,4,0.6381872119140625,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,692.0,54.065,52.66,55.47,745.6400146484375,1,3,0.6291540991210938,0.04,0.013
SPY,2026-05-25,2026-05-26,1,call,693.0,53.045,51.66,54.43,745.6400146484375,1,4,0.6164589135742189,0.04,0.013
